aX,aY,aZ,gX,gY,gZ
-0.118,0.821,-0.710,-20.569,-47.424,-34.485
-0.158,0.850,-0.859,-23.437,-57.678,-41.138
-0.170,0.848,-0.878,-27.588,-81.665,-50.659
-0.159,0.822,-0.991,-29.419,-90.210,-52.368
-0.129,0.849,-1.075,-43.152,-120.850,-50.232
-0.109,0.899,-1.081,-54.626,-146.301,-53.650
-0.136,0.852,-1.029,-71.350,-198.181,-69.092
-0.112,0.736,-0.938,-75.684,-221.619,-74.280
-0.088,0.709,-0.898,-79.346,-256.836,-77.454
-0.055,0.708,-0.981,-77.026,-273.865,-78.491
-0.045,0.741,-0.980,-76.172,-326.294,-85.510
-0.062,0.663,-0.824,-76.233,-351.135,-91.858
-0.045,0.544,-0.750,-76.111,-369.751,-94.482
0.065,0.517,-0.677,-85.266,-397.888,-79.163
0.133,0.615,-0.676,-90.210,-410.400,-73.181
0.178,0.681,-0.679,-79.468,-439.209,-94.299
0.052,0.578,-0.644,-68.604,-459.228,-116.638
-0.063,0.398,-0.528,-34.912,-502.747,-152.344
-0.162,0.202,-0.163,-41.565,-517.578,-154.358
-0.132,0.270,-0.015,-76.721,-541.748,-145.264
-0.099,0.365,0.486,-72.815,-560.608,-149.719
-0.090,0.284,0.959,-60.608,-560.181,-176.636
-0.028,0.028,1.461,-42.908,-509.460,-187.805
-0.054,-0.100,1.306,0.122,-380.859,-191.528
-0.284,-0.325,0.838,4.028,-352.539,-186.401
-0.331,-0.392,0.925,-46.265,-386.597,-162.598
-0.199,-0.396,1.580,-69.031,-398.499,-142.212
-0.123,-0.363,1.726,-70.190,-316.101,-100.586
0.011,-0.174,1.616,-65.430,-257.874,-82.825
0.058,-0.000,1.619,-60.364,-219.238,-70.923
0.019,-0.034,1.574,-25.024,-182.068,-79.468
-0.046,-0.215,1.459,-4.883,-167.297,-85.510
-0.087,-0.333,1.340,-3.601,-141.113,-65.430
-0.039,-0.149,1.265,-19.226,-131.104,-46.997
0.013,0.050,1.328,-46.021,-123.718,-33.142
0.051,0.157,1.475,-39.001,-123.657,-42.419
0.016,0.005,1.488,-2.014,-104.126,-62.317
-0.028,-0.219,1.314,8.240,-83.130,-56.213
-0.006,-0.155,1.183,1.526,-54.077,-27.771
0.039,0.090,1.205,-11.108,-54.687,-22.644
0.024,0.084,1.246,-16.602,-52.124,-33.691
-0.037,-0.080,1.113,-10.132,-48.523,-34.668
-0.016,-0.071,1.111,-13.184,-49.622,-19.104
0.047,0.110,1.158,-15.564,-44.434,-14.526
0.055,0.133,1.079,-12.146,-35.217,-16.602
0.045,0.089,1.015,-10.376,-28.015,-23.926
0.031,-0.002,1.001,-12.268,-25.452,-22.034
0.018,-0.003,0.954,-8.240,-19.043,-13.916
0.018,0.032,1.005,-7.507,-22.949,-10.498
0.025,0.074,1.067,-1.587,-22.278,-8.118
0.025,0.091,1.038,2.930,-17.517,-9.949
0.031,0.078,1.017,4.883,-11.780,-12.512
0.050,0.040,1.013,4.028,-9.399,-12.817
0.039,0.007,1.002,0.122,-3.540,-11.841
0.000,-0.044,0.968,-0.854,-2.441,-8.972
-0.000,-0.028,0.993,-0.244,-3.723,-4.639
-0.003,-0.002,0.989,13.245,-4.028,1.099
0.002,0.040,0.930,21.545,-3.906,2.563
0.004,0.053,0.941,20.142,-8.728,3.967
-0.001,0.030,0.976,17.578,-9.888,3.906
-0.008,0.011,0.944,18.250,-9.155,6.348
-0.040,0.000,0.883,15.625,-12.207,7.935
-0.051,-0.003,0.890,1.221,-23.499,7.690
-0.058,-0.008,0.979,-9.521,-27.893,5.859
-0.061,-0.020,1.042,-14.709,-30.396,4.028
-0.066,-0.001,1.079,-7.080,-23.926,6.165
-0.073,0.026,1.082,-4.883,-18.005,7.385
-0.079,0.045,1.057,-3.296,-8.606,3.418
-0.070,0.047,1.022,-6.104,-8.545,0.854
-0.061,0.039,1.056,-11.902,-10.742,-1.221
-0.061,0.052,1.029,-9.705,-7.568,-1.038
-0.063,0.066,0.982,-3.601,-7.874,-1.465
-0.035,0.071,1.054,-4.272,-12.573,-2.625
-0.031,0.055,1.092,-0.305,-9.583,-4.333
-0.052,0.032,1.037,2.258,-5.432,-4.272
-0.064,0.022,1.030,0.977,-2.014,-2.136
-0.065,0.032,1.031,1.709,-0.549,-0.732
-0.053,0.034,1.040,4.456,-0.061,-0.610
-0.054,-0.012,0.982,12.939,2.502,-2.869
-0.061,-0.034,0.948,12.939,2.991,-2.563
-0.058,-0.039,0.955,3.113,0.000,2.441
-0.040,0.034,1.018,-0.854,-0.427,5.005
-0.035,0.060,1.021,1.526,2.075,3.296
-0.047,0.028,0.925,3.052,2.686,1.465
-0.043,0.018,0.927,-2.441,-2.747,0.122
-0.057,0.002,0.965,-3.174,-2.441,-0.427
-0.066,-0.000,0.930,-1.770,-2.930,-0.244
-0.066,0.005,0.990,-3.906,-7.263,0.488
-0.065,0.008,1.007,-2.502,-7.080,1.892
-0.071,0.023,0.974,-3.174,-6.409,2.625
-0.066,0.034,0.992,-4.639,-6.958,2.869
-0.066,0.033,1.002,-3.418,-4.822,1.221
-0.083,0.010,1.005,-2.747,-3.784,1.221
-0.085,0.014,1.000,-2.136,-3.540,3.845
-0.084,0.025,1.027,-3.235,-4.089,4.639
-0.086,0.020,1.039,-1.404,-1.160,6.104
-0.080,0.052,1.006,0.061,0.000,6.531
-0.076,0.054,0.992,0.427,-1.343,4.211

-0.372,-0.148,2.344,-19.836,167.236,27.344
-0.405,-0.003,2.300,19.653,311.340,47.852
-0.549,0.122,1.900,39.185,376.099,46.997
-0.631,0.051,1.758,52.368,465.942,48.767
-0.609,-0.015,1.665,48.218,491.089,56.030
-0.550,-0.030,1.800,27.283,536.377,59.326
-0.527,0.193,1.665,40.344,577.820,52.673
-0.455,0.319,1.144,70.435,615.234,38.696
-0.337,0.381,0.459,96.497,597.473,5.310
-0.019,0.248,-0.654,73.975,531.799,-7.446
0.191,0.057,-0.667,-8.484,324.341,-14.648
0.445,-0.205,0.028,-30.701,249.084,-1.953
0.521,-0.131,0.099,-16.663,210.327,54.810
0.646,0.291,0.188,-8.118,198.120,73.181
0.688,0.453,0.310,40.161,202.270,35.950
0.541,0.146,-0.059,103.760,227.417,10.254
0.408,-0.116,-0.242,156.799,240.967,8.789
0.313,-0.257,-0.209,172.668,225.220,60.059
0.329,-0.098,0.060,161.133,227.844,81.665
0.362,0.097,0.059,118.774,276.855,76.721
0.365,0.306,-0.381,102.905,307.495,61.401
0.369,0.376,-0.607,97.473,324.463,51.819
0.375,0.383,-0.787,116.028,314.148,55.908
0.386,0.465,-0.876,133.179,302.185,63.416
0.375,0.587,-1.032,139.893,281.372,55.542
0.449,0.742,-1.450,140.320,253.418,43.640
0.460,0.719,-1.409,120.666,185.852,21.729
0.322,0.535,-1.181,106.812,172.424,22.278
0.248,0.531,-1.241,76.965,144.653,40.283
0.196,0.549,-1.169,63.354,117.004,44.312
0.183,0.542,-1.088,39.856,87.036,45.349
0.248,0.589,-1.088,23.315,82.947,42.480
0.288,0.569,-1.129,7.324,76.721,36.621
0.312,0.533,-1.227,-7.996,45.654,31.128
0.343,0.485,-1.204,-8.972,20.142,31.189
0.375,0.454,-0.974,-11.108,-0.977,29.175
