aX,aY,aZ,gX,gY,gZ
0.038,0.582,2.055,47.424,201.599,-41.565
-0.029,0.631,2.140,30.334,312.073,-40.527
-0.142,0.764,2.278,28.381,368.408,-43.945
-0.134,0.781,2.280,52.124,470.032,-52.734
-0.105,0.866,2.273,59.265,510.986,-57.739
-0.140,0.865,2.336,62.744,595.520,-83.191
-0.219,0.565,2.415,68.298,644.653,-93.994
-0.251,0.382,2.439,70.923,692.749,-91.370
-0.247,0.267,2.492,31.250,783.569,-56.763
-0.327,0.227,2.249,-2.319,828.735,-39.917
-0.412,0.214,1.865,16.602,892.273,-19.348
-0.611,0.024,0.827,47.974,902.039,-9.888
-0.762,-0.061,0.466,54.443,893.616,29.236
-1.252,-0.127,0.247,59.937,891.602,56.152
-1.416,-0.149,0.029,99.487,872.803,115.295
-2.081,-0.189,-0.329,87.952,824.158,137.817
-2.538,-0.227,-0.336,29.541,681.274,168.579
-3.146,-0.223,-0.180,16.968,608.643,176.147
-3.373,-0.194,-0.250,11.597,543.396,178.284
-3.459,-0.109,-0.634,-3.845,415.710,154.419
-3.027,0.218,-1.623,-0.244,319.214,117.065
-2.537,0.412,-1.586,20.447,74.158,25.024
-0.872,0.634,-0.631,24.902,-5.981,0.000
-0.139,0.640,-0.223,5.188,-11.414,-16.846
0.307,0.512,-0.409,-5.371,29.175,-26.978
0.071,0.360,-0.740,-11.658,66.528,-37.354
-0.848,0.204,-0.863,-23.743,52.429,-29.175
-1.250,0.240,-0.838,-35.339,5.920,-17.334
-1.175,0.408,-0.745,-27.039,-11.902,-19.836
-0.885,0.427,-0.706,-20.142,-18.555,-28.198
-0.516,0.243,-0.867,-10.681,-17.944,-34.851
-0.472,0.160,-0.939,-0.305,-18.921,-37.842
-0.385,0.226,-0.768,14.160,-23.132,-21.790
-0.395,0.350,-0.644,16.907,-19.470,-10.437
-0.455,0.491,-0.630,0.488,-4.211,1.465
-0.556,0.645,-0.790,-10.925,-2.808,-1.343
